loan_word;puris_equivalent
accordatie;overeenkoming, verdraaging, vereenighing
accorderen;verdraagen, overeenkomen, toestemmen, vereenighen, toestaan
accoutrement;toerusting
accoutreren;toestellen, optooyen
accrescentie;angroeying
accresceren;angroeyen, toeneemen
accretie;angroeying, anwassing
accumberen;anzitten, anliggen, geliggen
accumulatie;ophooping
accumulatif;ophoopend, verzaamelend
accumuleren;ophoopen, vergaderen
accuraat;naauwkeurigh, welgeschikt
accurreren;toeloopen
accursie;toeloop
accusateur;beschuldiger, anklaager
accusatie;anklaght, beschuldighing
accuseren;betichten, anklaaghen, beschuldighen, betijghen, antijghen
acerbe;wrang, zuur
acerberen;zuurmaaken, scherpen
acerbiteyt;wrangheydt
aceteus;zuurachtigh
acqueste;verkrijging, anwinning
acquesteren;verkrijgen, winnen
acquiëscement;berusting, toestaaning
acquiëscentie;berustendheidt
acquiësceren;berusten, gherust zijn, zich gherust stellen
acquireren;verkrijghen, bekomen
acquisiteur;verkrijger
acquisitie;verkrijging
acquiteren;quijten, quijtschelden
acre;scherp, bits
acrimonie;scherpte, scherpigheydt
acte;blijk, bescheidt, kennis, kennisschrift, bezeegeldt vonnis, daadt, doening, handeling, bedrijf, besluyt
acte notariaal;bescheidt van een beampt schrijver
acten en actitaten;handelingen en overhandelingen
acteur;bedrijver, bewerker, speeler, pleiter
actie;handeling, wercking, opspraak, op te spreeken hebben, doening, bedrijf, gherechtigheidt, daadt, aantaal, recht
actif;werkelijk, vernuftelijk, gheestigh, levendigh
activiteit;bedrijvigheidt, ghaawigheidt, vlugheidt
actrice;dingscherse, dingtaalvoerster, bedrijfster, bewerkster, speelster
actueel;actueux, werkelijk
actum;ghedaan, ghemaakt
acuëren;wetten, spitsen, scherpen
acut;scherp
adaptatie;toepassing
adapteren;anvoeghen, byschikken, toepassen
adderen;toedoen, byvoeghen, anlappen
addiceren;toekennen, toezeggen, toestaan
addictie;toekennen, toesegghing
additie;toedoening, verghaadering, optelling, bydoening
addubitatie;halftwijffeling
addubiteren;in twijffel hangen
adduceren;anleiden, byleiden
adductie;byleiding, toeleiding
adduplicatie;verdobbeling
addupliceren;verdobbelen
ademptie;beneeming, ontneeming
adequaat;evenmaatig
adequatie;evenmaatighing
adequeren;evenmaatighen
adfriseren;anwrijven, ankrauwen
adgredieren;toetreeden, antreeden, anvatten, angrijpen, antasten, anranden
adgresseur;anvaller, angrijper, anvatter, antaster, anrander
adgressie;anvatting, angrijping, anvalling, antasting, anranding
adherent;anhangend
adherenten;anhanghelinghen
adherentie;anhanging, anhangendheidt
adhereren;anhangen
adheritatie;erving, byerving
adheriteren;erven, byerven
adhiberen;byhouden, bybrengen, anwenden, beezighen
adhibitie;toebrenging, bybrenging
adhortatie;anmaaning
adhorteren;anmaanen, anstouwen, ophitsen
adhorteur;anmaaner
adieren;anghaan
adieu;vaar wel, godt geleide u
adigeren;andrijven, voortstouwen
adimeren;benemen
adimpleren;voldoen, volbrengen, nakomen
adimpletie;vervulling
adimpliëren;vervullen, voldoen, volbrenghen
adipisceren;bekomen, verkrijghen
aditie;toegang, toegaaning, toetreeding, der herediteit, erfanvaerding
adjectie;toewerping, bywerping
adjectijf;toewerpigh, byvoeghlijk
adjiciëren;toewerpen, bywerpen
adjoint;byghevoeght, metghezel
adjointeren;byvoeghen
adjourneren;daghvaarden, daghen
adjouteren;byvoeghen, bydoen
adjudicatie;toewijzing
adjudleeren;adjugeren, toewijzen, anwijzen
adjument;hulp, bystandt
adjunct;byghevoeghd, byvoegh, ankleef, byvoegsel
adjunctie;byvoeghing
adjungeren;byvoeghen
adjuratie;bezweering
adjureren;zweeren, bezweeren
adjusteren;ghelijkmaaken, vereffenen, afpassen
adjuteur;helper
adjuvatie;helping
adjuveren;helpen
adminicul;onderstunsel, stutsel, hulp
adminiculeren;ondersteuning, helping
adminiculeren;ondersteunen, helpen, stutten
administrateur;bediener, bewindthebber
administratie;bewindt, bediening, bewinthebbing
administreren;bewindt hebben, bedienen
admiraal;zee-vooght, vlootheer, opperzeehoofdtman
admiraalschap;zeevoogdijschap, vlootheerschap
admirabel;wonderbaar
admiraliteit;zeevooghdy, zeebewint
admiratie;verwondering, bewondering
admireren;verwonderen, bewonderen
admisceren;vermengen, bymengen
admissie;toelaating, toestaaning
admitteren;toestaan, inwillighen
admixtie;bymenging, vermenging
admoliëren;pooghen, trachten
admolitie;pooghing
admoneren;vermaanen, anmaanen
admoniteur;vermaaner
admonitie;vermaaning, anmaaning
admorderen;toebijten, anbijten
admorsie;anbijting, toebijting
admotie;toebeweeghing, anvoering
admoveren;anvoeren, anbrengen, anstuwen, toewenden, ankeeren
adnavigabel;anvaarlijk
adnavigatie;aanvaring
adnavigeren;anscheepen, anvaaren
adnecteren;anknopen, anbinden
adnectie;anknooping
adoleren;reukofferen, anwassen
adoptatie;kinderanneming, zoonanneeming
adopteren;annemen tot kindschap
adoptie;anneeming tot kindschap
adoptif;angenoomen kindt, anneemeling
adorateur;aanbidder
adoratie;anbidding
adoreren;anbidden
adornatie;opproncking, opsmukking
adorneren;versieren, opschikken, tooyen, opproncken
adquireren;verkrijgen
adquisiteur;verkrijger
adquisitie;verkrijghing
adresse;bestelling, beschikking, toevoeghingh
adresseren;schikken, bestellen, beschikken, anwijzen, toestieren, toevoeghen, vervoeghen
adscriberen;toeschrijven
adscriptie;toeschrijving, byschrijving
adsimilateur;vergelijker
adsimilateur;veinzer
adsimilatie;vergelijking, gelijkmaaking
adsimilatie;veinzing
adsimileren;verghelijken
adsimuleren;veinzen
adsoneren;toeluiden, toestemmen, toeghalmen
adstipulatie;verwillighing, toestaaning
adstipuleren;toestemmen, toezegghen, toestaan, verwillighen
adstrictie;t’zamentrekking
adstringent;samentrekkend
adstringeren;toevoeghen, verbinden, samentrekken, toebrengen
adstructie;vastmaaking
adstrueren;vast maken
adulateur;pluimstrijker
adulatie;pluymstrijkking, pluimstrijkery
aduleren;pluimstrijken, vleyen
adulteratie;vervalsching
adultere;overspel, egtbreeking, egtbreuk
adultereren;overspel bedrijven, vervalschen
adumbratie;ontwerp, beworp, afschaduwing, afschetsing
adumbreren;afschaduwen, bewerpen, afbeelden
aduneren;adunieren, vereenighen
adunie;adunitie, vereening
advancement;voorderingh, bevoorderingh
advanceren;voorderen
advans;voordeel
advenant;overeenkomst, by ghevolgh, ghevoeghlijk
adveniëren;toekomen, ankomen
advent;adventie, toekomst, toekooming
advers;teghenstrijdigh, teghenparty
adversarie;party, teghenparty
adversatie;wederstreeving, teghendeel, wederdeel
adverseren;teghenstreeven, teghenstaan
adversie;toekeer
adversiteyt;teghenspoedt
advertentie;waarschuwing, verneeming, ghewaarwording
adverteren;toekeeren, waarschouwen, bootschappen, verwittighen
advertissement;waersehouwing, vermaaning, bekendmaaking
advigilatie;bevlijtighing, oppassing
advigileren;bevlijtighen, benaerstigen
advijs;goetdunken, waarschouwing, meining, bericht, bescheidt
adviseren;beraaden, bezinnen, raaden te kennen geven, oordeelen, laaten
advocaat;voorspraak, voorspreeker
advocaat fiscaal;voorspraak van der heeren geldtkist
advoceren;voorspreeken, toeroepen, by zich roepen
advolutie;toerolling, toewenteling
advolveren;toerollen, anrollen, toewentelen, anwentelen
advouëren;ghestandt doen, toestemmen, bevestighen
advoy;toestemming
advoyement;ghestandtdoening, vasthouding, toestemming
advoyeren;toestemmen, bevestigen, van waarden houden
ady;heeden, van daagh
afcirkulen;kringen, bekringen, afkringen, met kringen aftekenen
afconterfeyten;afbeelden, afmaalen, uytschilderen
affabel;ghespraakzaam, spraakzaam, spreekvaerdigh
affabiliteit;ghespraaksaamheidt, spreekvaardigheidt
affaire;handel, koopmanschap, bekommering
affameren;verhongeren, uythongeren
affectatie;begheerte, ghraaghte, nastaaning, ghreetigheidt, beyvering
affecteren;beyveren, behartigen, zoeken, vereischen, dikwils doen, benaerstigen, opvlammen
affectie;hartstoght, toeneighing, ontroering, andoening, gheneghenheidt
affectioneren;toeneighen, beminnnen
affectueux;gheneeghen, toegeneighdt
afficiëren;andoen
affigeren;anhechten
affineren;zuiveren
affiniteyt;maaghschap, zwagerschap, verwantschap, zwagery, vermaaghschap
affirmatie;bevestighing, betuighing
affirmatif;bevestighend
affirmeren;bevestighen, beja’en, verzeekeren
affix;anghehecht
affixie;anhechting
afflictie;quelling
affligeren;neerslaan, quellen
affluëren;toevloeyen, overvloeyen, anvloeyen
affluxie;anvloeying, toevloeying
affriceren;anwryven
affrictie;anwryving
affront;verkorting, hoon, eerrooving, eerquetsing
affronteren;verkorten, veronghelijken, hoonen
affuit;rolpaardt
affunderen;begieten, bestorten, bespatten
affusie;begieting
agent;ghezant, hofghezant, zaakvoerder
ageren;doen, bedrijven, verhandelen, bewerken, aangaan
aggravatie;bezwaaring, overlaading
aggraveren;bezwaaren, overlaaden
aggreabel;angenaam, behaaghlijk
aggreatie;behaaging, toestemming goedtkenning, beangenaaming
aggrediëren;anvallen, angaan, toetreeden, antasten, angrijpen, anranden
aggreëren;behaagen, believen, bewilligen, angenaamen, toestemmen, beangenaamen
aggregatie;verzameling, toegadering
aggregeren;toegaderen, verzamelen
aggresseren;anvatten, anvallen, angrijpen, anranden
aggresseur;antaster, anvatter, anrander
aggressie;anval, angrijping, antasting, anranding
agil;snel, behendigh, gezwindt, rap
agiliteyt;behendigheit, rapheidt, gezwintheidt
agitatie;drijving, beroering, anstooking
agiteren;drijven, beroeren
agnitie;kennis, erkenning
agnosceren;erkennen
agonisatie;strijding, zieltooging
agoniseren;strijden, kampen, zieltoogen
agreabel;zoekt, aggreabel
agriculteren;landtbouwen
agriculture;landtbouw, landtbouwing, landtbouwery, landtwinning
agrimonie;bitterheydt
aisement;gemaklijk, lichtdoenlijk
alarm;wapenroep, wapen, ter wapen
alchimie;stofscheydkunde, aardkookery, smeltkonst
alchimist;stofscheyder, metaalbrander
alchimistery;ziet, alchimie
algebra;stelreeghel
alienabel;vervreemdtbaar
aliënatie;vervreemding
aliëneren;vervreemden
aliment;alimonie, onderhoudt, voedtsel
alimentatie;voeding, opvoeding
alimenteren;voeden, opvoeden, onderhouden
allatratie;anbassing
allatreren;anbassen, alléë, gank
allegatie;bybrenging, antrekking
allegeren;verlichten, ontlasten
allegorie;byspraak, byspreuk, ghelijkspreuk
allegre;lustigh, ras, gezwindt
allegueren;bybrenging, voorthaalen, antrekken, antoogen, allevatie, bybeuring, opheffing
alleveren;verlichten, heffen, bybeuren
alliantie;verbondt, bondtghenootschap
alliceren;anlokken
allideren;anstooten, stuiten
alliëren;verbondtmaaken, verbinden
alligatie;anbinding
alligeren;anbinden, anverbinden
allisie;anstooting, anhorting
allocutie;anspraak
allodiale-goederen;onleengoederen, oncijnsbaar goedt
allongatie;verlenging
allongeren;verlengen, alloqueren, anspreeken
alloy;muntstof
alluderen;opspeelen, ’t ooge op hebben
allueren;anvloeyen, anspoelen
allumeren;ontsteeken
allusie;speeling, insicht op iets, anspel, schuilzin, schuilreden, zinspeeling
alluvie;anvloeying, anspoeling
almanak;maandtwijzer, tijdtwijzer
alteratie;verandering, ontsteldtheidt, ontzetting, ontsteltenis
altercatie;gekijf, kibbeling
alterceren;kijven, twisten, kibbelen
altereren;veranderen, zich ontzetten, ontstellen
altern;overbeurtigh, overhandts
alternatie;wisseling, beurthouding
alternatif;by beurten, beurtwijs, over ’s handts
alterneren;beurthouden, overhandts doen
amabel;minbaar, minwaardigh, liefwaardigh
amaritude;bitterheidt
amasseren;ophoopen
amateur;liefhebber, minnaar
ambassaadt;ambassadeur, ghezant, hof ghezant
ambassaadtschaap;ghezantschap
ambidextre;slinx en rechtsch, evenhandig
ambieren;na hengelen, om hengelen, vryen, begheeren, omgaan
ambigeren;twijffelen
ambiguiteyt;dubbelzinnigheit, dubbelduidigheit, twijffelzinnigheit
ambitie;eerzught, eergierigheyt
ambitieux;eerzuchtigh, eerghierigh
ambulatie;wandeling
ambuleren;wandelen
ameen;vermaakelijk, lustigh
amende;boete, breuke, verbeurte
ameniteit;vermaaklijkheidt
ami;vriendinne
amiabiliteit;minzaamheydt, vriendelijckheyt
amiable;amicabel, lieflijck, minzaaam, vriendelijk
amice;vriendt
amicitie;vriendschap
amict;kleedt, hoofdtdeksel
amissie;verlies
amitteren;verliezen
ammunitie;toerusting, oorloghsghereedtschap, krijgstuig
amnestie;vergheeting, ghemeene vergeeting
amoderatie;bemiddeling
amodereren;middelen, bemiddelen
amoliëren;weghdrijven, verdrijven, afwenden, uitrooyen
amolitie;uytrooying
amortificatie;doode handstelling
amortificeren;’t goedt in dooder hantstellen
amoureus;minnend verliefd
ampel;wijdt, breedt
amphibologie;dubbelzin, twijffelreden
amphitheater;schouwburgh, rondenburgh, toneel rondt
ample;breedt, ruym, wijdluchtigh
amplecteren;omhelzen, omvangen
amplexie;omhelzing
ampliatie;uytbreiding
ampliëren;verbreeden, vermeeren, uitbreiden
amplificatie;uitbreiding, breedmaaking
amplificeren;breedmaaken, uitbreeden, vermeeren
ampulle;kan, kruik, pul
amputatie;afsnijding
amputeren;besnoeyen, afsnoeyen, knotten
anabaptist;herdooper, wederdooper, doopsghezinde
analogie;evenredenheidt, ghelijkvormigheidt
anathema;vloek, vloekbesluit
anathematiseren;vervloeken
anatomie;ontleeding, opsnijding, ontleedkunde, ontleedplaats
androgynen;manwijven
angust;naauw, eng
angusteren;benaauwen, engen
angustie;engte, bangigheidt
animadversie;anmerking, waarschouwing
animadvertentie;anmerkendheidt, waarschouwendheidt
animadverteren;waarschouwen, behartigen, bevroeden, anmerken
animeren;moedighen, moet geven
animeux;moedigh
animositeyt;moedigheydt
annalen;jaarboeken
annecteren;anknoopen, anhechten
annectie;anknooping
annex;anghehecht, bygebonden, angevoeght
annicheleren;annihileren, vernietighen, te niet doen
annihilatie;vernieting
anniversarien;jaarboeken
annonceren;boodtschappen, verwittigen
annonciatie;verwittiging
annone;jaarkost, jaarnootdruft
annotatie;anteikening
annoteren;anteikenen
annueren;toewenken, toeknikken, toestaan
annullatie;vernieting
annulleren;vernietigen, te niet doen
annumeratie;toetelling
annumereren;toetellen
annunciatie;verkonding, verwittighing
annuncieren;verkondighen
antecederen;voorgaan, overtreffen
antecelleren;uitmunten, overtreffen
antecesseur;voorzaat, voorganger
antecessie;voorgaaning
antedateren;te vooren anteikenen
antemuraille;voorvest, voorburght
anteponeren;voorstellen, voorzetten
antepositie;voorstelling, voorzetting
antichrist;teeghenchrist
anticipantie;voorinneeming, vooringhenomenheidt
anticipatie;voorkoming, vooringhenomenheidt, vervroeghing
anticiperen;voorkomen, verrassen, verhaasten, vervroeghen
antidateren;teeghenteekenen, den dagh vervroeghen
antidot;teghenghift
antijk;antijks, oudt, snaaks
antimonie;spitsghlas, spiesglas
antipathie;afkeer, weerzin, teeghenzin, teeghenzucht
antipoden;teeghenvoetelingen
antiqueren;oudtmaaken, weghdoen, afschaffen, uitdrijven
antiquiteyt;oudheidt, aaloudheidt
anxiëteyt;anxiëtude, angst, benaauwdheidt, angstvalligheidt
apart;byzonderlijk, afzonderlijk, ter zijden, verdeeldt, byzonder, afgedeeldt
aperitif;openend, dat maght van openen heeft
apert;open, openbaar, bekendt
apertie;opening
apocrijph;verborghen, onghelijst, onghereegheldt, buitenreegheligh
apologie;verantwoording, naamscherm, verdeedighing, verweerschrift, schermschrift
apoplexie;popelsy, beroerdheidt
apostaat;afvallighe, verloochenaar
apostasie;afval
apostel;ghódts ghezant, ghódts bode, zendtbode
aposteme;apostumatie, zwelling, ghezwel, zweer
apostil;bescheidt, randtteekening, byteekening, af vaerding
apostilleren;kantteekenen
apoteek;artsenywinkel, dróghbereidery
apoteeker;artsenymaker, artsenymenger, drógbereider, kruidtmenger
apothegme;bondighe spreuk
apozeme;kruydtdrank, kooksel, ziedsel
appaiseren;bevreedighen
appareil;bereidsel, toerusting
apparent;ooghschijnlijk, schijnbaarlijk, schijnend, waarschijnelijk, apparentie, schijnbaarheidt, schijn
appareren;bereiden, verschijnen
appart;afghezonderdt, afghedeeldt
appast;aas, vetmaakende spijs
appel;beroep
appellant;beroeper
appellatie;beroeping, betrek van ’t vonnis, hoogher betrek, benoeming
appelleren;beroepen, weder ghehoor verzoeken, voor recht roepen
appenderen;anhangen
appendix;anhangsel, anhang, byvoegsel
appensement;dagh van beraadt, bedenking
appeteren;begheeren, ghraagh zijn
appetibel;begheerlijk
appetijt;ghraagheidt, begheerte, trek
appingeren;anvoeghen, bymaalen, anschilderen, opdighten
applauderen;vervrolijken, prijzen, toejuichen
applicatie;toepassing, toeeighening
appliceren;toepassen, toeeighenen, byvoeghen, toebegheeven, tót verklaaring
appointement;beslechting, uitting, afvaerding
appointeren;spitsen, bestemmen, verghelijken, daghvaerden
apponeren;byzetten
apportatie;bybrenging
apporteren;bybrengen, toebrengen
apposeren;byzetten, bystellen
appositie;byzetting, toezet
apposteren;africhten
apprecatie;toebidding
appreceren;toebidden, toewenschen
appreciëren;waerdeeren, schatten
apprehenderen;vatten, bevatten, vangen, vasthouden, beghrijpen, verstaan
apprehensie;vatting, beghrijping, hechtenis, vangenis, antasting, schroom
approbatie;ghoedtkenning, toestemming
approberen;ghoedtkennen, ghoedtachten, anneemen, looven, van waerde
approche;naadering, loopghracht, ghenaakschans
approcheren;naaderen, appropinquatie, ghenaaking
appropinqueren;ghenaaken, naaderen
appropriatie;toeeighening
appropriëren;toeeighenen
appuy;leuning, steunsel
appuyeren;leunen, steunen, stutten
april;ghrasmaandt
apteek;drogbereidery, artsenywinkel
apteker;drogbereyder, drankmenger, kruidtmenger, artsenymenger
apteren;voeghen, vleyen, passen
aptitude;bequaamheidt, bequaamlijkheidt
arbiter;scheidsman, zeghsman, bemiddeler, ghoêman, ghekooren rechter
arbitraal;beraadzaam, wilkeurlijk, ghoedtdunkende
arbitrateur;vreedemaker, ghoede man
arbitreren;bemiddelen, raadtslaan, beraadtslaghen
arbritrage;bemiddeling, ghoedtdunken
arbritrale uitspraak;ghoêmannen uitspraak
arcenal;wapenhuys
arceren;weeren, afweeren, beletten, indrijven
archangel;aartsengel, opperengel
archier;schutter
architect;bouwmeester
architecture;bouwkonst
architrave;overbalk, opperbalk
archiven;handtvesten, staatschriften
arctatie;beklemming, benaauwing
arctè;eng, naauw
arcteren;beklemmen, benaauwen
ardent;vuurigh, brandigh
arderen;branden
ardeur;vuurigheidt
argine;afdaking
arguatie;bewyzing, kibbeling
arguëren;bewyzen, knibbelen
arguërer;bewyzer, kibbeler, twister
arguëring;bewyzing, kibbeling, twisting
argument;bewijs, bewijsreeden, kort beghrijp, inhoudt, strijdtreden
argumentatie;twistreedening
argumenteren;twistreedenen
argut;loos, scherpzinnigh
ariditeyt;drooghte, dorheidt
aristocratie;besterheersching, der bester regheering, adelregheering
arithmetica;telkonst, reekenkonst, tal- óft telkunde
armade;armee, krijghsrusting, krijghsheir, heirkracht, heirleeger
armaris;wapenhuis
armature;wapening
armeren;wapenen
aromatijk;welriekend
aromatiseren;welriekend maaken
arquebuse;vuurroer, handtbus
arquebuseren;busschieten
arquebusier;handtbusschieter
arrangeren;op een ry stellen, in órde zetten
arrectie;opstrekking, oprechting
arrementen;pleitervingen, pleitvernieuwingen, pleitverdaadingen, pleitgronden, pleithervattingen
arreptie;anghrijping
arres;ghódtspenning
arrest;beslagh, besluit, bekommering
arrestant;handtopleggher, beslagher
arresteren;besluiten, bekommeren, beslaan, vaststellen, voorneemen
arrideren;toelacchen
arrieregarde;achterhoede
arrigeren;opstrekken, oprechten
arripiëren;opvatten, anghrijpen, anneemen
arrivement;landing, ankoming
arriveren;ankomen, anlanden
arroderen;inbijten, knaaghen, beknabbelen
arrogant;laatdunkend, verwaaten, trots, vermeeten
arrogeren;beroemen, vermeeten, toeeighenen, anmaatighen
arrosie;inbijting, knaaging
arrouseren;besproeyen
arsenaal;wapenhuis
arterie;polsader, hartader, slaghader
articulatie;beleeding, leedenschikking, leedenstelling
articule;lidt
articuleren;beleeden, ontleeden
artifice;konsthandel, konstghreep, konst, konstenery, behendigheidt
artificiaal;artificieel, konstigh
artillerie;gheschut
artillery-huis;gheschuthuis
artillerymeester;gheschutmeester
artisaan;artist, konstmeester, konstenaar
artykel;lidt, deel
ascendent;opghaande, opklimmende
ascenderen;klimmen, opghaan, opklimmen
ascensie;klimming, opvaart, opstyghing
asijl;vryplaats, schuilplaats
aspect;anschouw, starghezicht
aspergeren;besprengen, besproeyen
asperiteyt;scherpheidt, wrangheidt
asperneren;versmaaden, verachten
aspersie;besprenging
aspiciëren;anschouwen
aspiratie;toeblaazing, anblaazing
aspireren;na snakken, na trachten, bejaaghen, op vlammen, anblaazen
assaijeren;beproeven
assaijeur;muntproever
assaisonneren;bereiden, smaak gheven
assassin;moordenaar
assassinaat;moordt, moordery
assaut;anval
assay;proef
asscriberen;toeschrijven
asscriptie;toeschrijving, byschrijving
assecteren;navolghen, najaaghen
assecuratie;verzeekering, veilighing
assecureren;verzeekeren
assemblee;verghadering, samenkomst
assembleren;verghaaderen
assentatie;pluymstryking, vleying, toestemming
assenteren;falievouwen, vleyen, toestemmen
assentiëren;meedehouden, toestemmen
assequeren;bekomen, verkrijghen
assequutie;verkrijghing
asserateur;verzeekerer ter zee
assereren;verdaadighen, ghestandt doen, bevestighen, verzeekeren
asserteur;verdaadigher, verzeekeraar
assertie;verdaadighing
asservatie;bewaaring
asserveren;behoeden, bewaaren
assesseren;byzitten
assesseur;byzitter, bygevoeghde
asseurantie;verzeekering, verzeekerdheidt
asseurateur;verzeekerer, zee verzeekerer
asseureren;verzeekeren
asseveratie;verzeekering
assevereren;verzeekeren, vastelijk toezegghen, voor de waarheidt verklaaren
assiduiteyt;gheduurigheidt
assignatie;anwyzing, bewijs, overwyzing, schuldtoverwijs
assigneren;anwijzen, overwijzen, schuldtoverwijzen, toeeighenen, toeschrijven
assimilatie;verghelijking, ghelijkmaaking
assimileren;verghelijken
assimulatie;meedeveinzing
assimuleren;meedeveinzen
assises;pleitdaghen, dinghdaghen, zitdagen
